	Archer	WarriorMage	MasterArcher	Sniper	Cleric	Priest	PriestLight	PriestDark	DarkElf	Patriarch	Dragon	GreatWyrm	Druid	GreatDruid	Warlock	ArchDruid	Knight	Cavalier	BlackKnight	Champion	Minotaur	MinotaurLord	Monk	Initiate	Master	Ninja	Paladin	Crusader	Hero	Villain	Ranger	Hunter	BountyHunter	RangerLord	Thief	Rogue	Assassin	Spy	Troll	WarTroll	Vampire	Nosferatu	Sorcerer	Wizard	Necromancer	Lich	ArchMage	Dark Archmage	Peasant	n/u	High Priest	Master Wizard	n/u	Seraphim	Angel	Archangel	Death Knight	Death Lord	Lich King	Shaman	Sekhem	Marabou	Elementalist	Elemental Adept	Master of Elements
Fire	E	M	G	G	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	E	M	M	-	E	M	M	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G	-	-	-	-	-	-	E	M	G	M	M	G
Air	E	M	G	G	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	E	M	M	-	E	M	M	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G	-	-	-	-	-	-	E	M	G	M	M	G
Water	E	M	G	G	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	E	M	M	-	E	M	M	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G	-	-	-	E	M	G	E	M	G	M	M	G
Earth	E	M	G	G	-	-	-	-	E	M	-	-	E	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	E	M	M	-	E	M	M	-	-	-	-	E	M	M	G	G	G	-	-	-	G	G	-	-	-	-	-	-	E	M	G	M	M	G
Spirit	-	-	-	-	E	M	G	G	-	-	-	-	E	M	G	G	-	-	-	-	E	M	-	B	E	E	E	M	G	G	E	E	M	M	-	-	-	-	-	-	E	M	-	-	-	-	-	-	-	-	G	-	-	E	M	M	-	-	-	E	M	G	-	-	-
Mind	-	-	-	-	E	M	G	G	-	-	-	-	E	M	G	G	-	-	-	-	E	M	-	B	E	E	E	M	G	G	E	E	M	M	-	-	-	-	-	-	E	M	-	-	-	-	-	-	-	-	G	-	-	E	M	M	-	-	-	E	M	G	-	-	-
Body	-	-	-	-	E	M	G	G	-	-	-	-	E	M	G	G	-	-	-	-	E	M	-	B	E	E	E	M	M	M	E	E	M	M	-	-	-	-	-	-	E	M	-	-	-	-	-	-	-	-	G	-	-	E	M	M	E	M	G	E	M	G	-	-	-
Light	-	-	M	-	-	-	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	G	-	-	-	M	M	M	M	M	G	-	-	-	-	-	-	-	-	-
Dark	-	-	-	M	-	-	-	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	G	-	G	-	-	M	M	M	-	-	-	E	M	G	-	-	-	-	-	-
DarkElfAbility	-	-	-	-	-	-	-	-	M	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
VampireAbility	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	M	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DragonAbility	-	-	-	-	-	-	-	-	-	-	M	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
IdentifyItem	M	M	G	G	B	B	B	B	M	M	M	G	E	E	E	E	B	E	E	E	B	B	E	M	M	M	E	M	M	M	B	B	E	E	M	M	G	G	B	B	E	E	M	M	M	G	G	M	B	B	B	M	M	E	E	E	E	M	M	M	M	G	M	M	G
Merchant	E	E	E	E	M	M	G	G	M	G	E	E	E	E	E	E	E	E	E	E	E	E	B	B	B	B	E	E	E	E	M	M	M	M	M	M	M	M	B	B	E	E	B	B	B	B	B	B	B	B	G	B	B	M	M	G	E	E	M	E	E	E	E	E	E
Repair	E	E	M	M	E	E	E	E	E	E	B	B	B	B	B	B	M	M	G	G	B	B	B	B	B	B	M	M	G	G	B	B	E	E	B	B	B	B	M	M	B	B	E	E	E	M	M	M	B	B	E	M	E	E	E	E	M	M	G	E	M	M	B	B	B
Bodybuilding	E	M	M	M	B	E	E	E	E	E	M	M	B	B	B	B	M	M	M	M	M	M	M	M	G	G	M	M	M	M	E	M	M	M	E	E	E	E	M	G	E	M	B	B	B	B	B	B	B	-	E	B	-	E	M	M	M	M	M	E	E	E	B	B	B
Meditation	E	M	M	M	M	M	M	M	E	M	-	-	M	M	G	G	-	-	-	-	E	M	-	-	-	-	E	E	M	M	E	M	M	M	-	E	M	M	-	-	B	E	M	M	M	M	M	G	-	-	M	M	M	E	M	M	-	-	-	M	M	M	M	M	G
Perception	M	M	G	G	E	E	E	E	M	M	M	G	E	E	E	E	E	M	M	M	M	G	E	E	E	E	E	M	M	M	M	M	M	M	M	M	M	M	B	E	E	E	E	E	E	E	E	E	B	B	E	E	E	M	M	G	E	M	M	E	E	E	B	B	B
Regeneration	-	-	-	-	-	-	-	-	-	-	E	E	-	-	-	-	-	-	-	-	B	E	B	E	E	E	-	-	-	-	-	-	-	-	-	-	-	-	M	G	E	M	-	-	-	E	-	-	-	-	-	-	-	-	-	-	B	E	E	-	-	-	-	-	-
DisarmTraps	B	E	M	M	B	B	B	B	M	G	B	B	B	B	B	B	B	B	E	E	M	M	B	E	M	M	B	B	B	B	E	E	E	E	M	M	G	G	B	B	E	E	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	B	E	E	E	E	E	E	M
Dodging	E	E	E	E	-	-	-	-	E	E	-	-	-	-	-	-	E	E	E	E	-	-	M	M	G	G	B	B	B	B	E	E	E	E	M	M	G	G	-	-	E	E	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Unarmed	B	B	B	B	-	-	-	-	-	-	-	-	-	-	-	-	E	E	E	E	E	E	M	M	G	G	B	B	B	B	B	B	B	B	E	E	E	E	E	E	B	B	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	E	M	M	-	-	-
IdentifyMonster	B	B	B	B	M	G	G	G	B	B	M	M	E	E	E	E	E	E	E	E	B	B	E	E	E	E	B	B	B	B	M	M	G	G	B	B	B	B	E	E	M	G	M	M	M	M	M	M	B	B	E	M	M	B	B	B	E	E	E	M	M	G	M	M	G
Armsmaster	E	E	M	M	E	E	E	E	E	E	-	-	B	B	B	B	M	M	G	G	-	-	M	M	M	M	E	M	M	M	E	E	E	E	M	M	G	G	M	M	M	G	-	-	-	-	-	-	-	-	B	-	-	-	-	-	-	-	-	E	E	E	-	-	-
Stealing	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	B	B	E	E	-	-	-	-	E	E	E	E	M	M	G	G	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Alchemy	E	E	E	E	E	E	E	E	M	G	M	M	M	M	G	G	B	B	B	B	B	B	M	M	G	G	B	E	E	E	M	G	G	G	M	M	G	G	B	B	M	G	M	M	M	G	G	G	B	B	E	G	M	B	B	B	M	M	G	E	E	E	M	M	G
Learning	M	M	G	M	M	M	G	G	M	G	M	G	M	M	G	G	-	-	-	-	M	G	M	M	G	G	M	M	G	G	M	M	G	G	-	M	G	G	-	-	M	G	M	M	M	G	G	G	B	B	G	G	M	M	M	G	-	-	-	-	-	-	-	-	-
																																																																	
