																
Item #	Pic File	Name	Value	Equip Stat	Skill Group	Mod1	Mod2	material	ID/Rep/St	Not identified name	Sprite Index	VarA	VarB	Equip X	Equip Y	Notes
32	item032	Battle Hatchet	150	Weapon	Axe	4d2	3	5	5	Axe	7	0	0	28	86	"Often carried by mounted knights as a secondary arm, battle hatchets are preferred by some who carry them to the exclusion to any sword."
33	item033	Battleaxe	300	Weapon	Axe	4d2	6	5	8	Axe	7	0	0	27	96	These heavy axes are meant to be carried one-handed for use against both armored and unarmored foes.
34	item034	Dwarven Battleaxe	450	Weapon	Axe	3d2	10	5	11	Axe	7	0	0	37	110	"While the blacksmiths of the Jadamean Dark Dwarves are not as skilled as their Erathian counterparts, they still produce a product superior to most of what is otherwise available."
35	item035	Minotaur Battleaxe	650	Weapon	Axe	4d2	11	5	13	Axe	7	0	0	41	110	"Forged by the Minotaurs for their wars with the Ogres, these axes are forged of a secret alloy formula. Their edges are difficult to dull and even harder to sharpen."
36	item036	Two-Handed Axe	150	Weapon2	Axe	3d6	0	6	1	Two-Handed Axe	8	0	0	40	92	"As much an implement for working wood as a weapon, this crude axe can still deliver a telling blow."
37	item038	Footman's Axe	450	Weapon2	Axe	3d7	2	6	5	Two-Handed Axe	8	0	0	42	106	"Capable of splitting armor, these two-handed axes are a favorite among soldiers facing mounted knights."
38	item037	Minotaur War Axe	900	Weapon2	Axe	3d7	6	6	9	Two-Handed Axe	8	0	0	48	87	These two-handed axes are commonly used by Minotaurs who have the strength necessary to handle their great weight.
39	item039	Elite Minotaur Axe	1400	Weapon2	Axe	3d7	13	6	12	Two-Handed Axe	8	0	0	46	103	"These axes of superior workmanship are issued only to members of The Blackened Horn, the elite warriors who guard Minotaur holy sites."
40	item040	Minotaur Herdsman Axe	1800	Weapon2	Axe	3d7	16	6	15	Two-Handed Axe	8	0	0	42	112	Minotaur herdsmen lead their troops into battle wielding these devastating war axes of superlative balance and workmanship.
41	item041	Ogre Fighting Stick	10	Weapon1or2	Spear	1d8	0	6	1	Spear	9	0	0	17	116	"A fire-hardened and sharpened sapling studded with thorns, spears like these are used by Ogre troops for drill and basic combat training. "
42	item042	Steel Spear	100	Weapon1or2	Spear	1d8	5	6	6	Spear	9	0	0	20	116	"Basic spears are found stockpiled in the armories of many races, and for good reason - they are effective and deadly weapons. This particular one is of Minotaur origin."
43	item043	Elven Long Spear	300	Weapon1or2	Spear	1d8	9	6	9	Spear	9	0	0	13	119	The fine craftsmanship and balance of this alloy steel headed spear mark it as the work of the weaponsmiths of Alvar.
44	item044	War Spear	500	Weapon1or2	Spear	1d8	12	6	12	Spear	9	0	0	25	124	"This spear is built for battle. Far to heavy to be wielded by the part-time militiaman, it is built for the professional warrior who prefers the spear to other weapons."
45	item045	Dragon Harpoon	650	Weapon1or2	Spear	1d9	14	6	13	Spear	9	0	0	17	111	"The back-barbed stalt steel head of this weapon is designed to deal grievous damage to even the most ancient of dragons. Naturally, it is the spearfighter's choice for dispatching all foes."
46	item046	Improvised Voulge	100	Weapon1or2	Spear	3d5	0	6	1	Halberd	10	0	0	34	93	This simple poleaxe appears to have been made by attaching the blade of a farm implement to a poorly crafted spear.
47	item048	Halberd	400	Weapon1or2	Spear	3d6	3	6	5	Halberd	10	0	0	30	111	"A versatile weapon combining the qualities of an axe and a spear, the halberd is designed to perform in formation and individual close quarter fighting."
48	item047	Beaked Halberd	700	Weapon1or2	Spear	3d5	10	6	9	Halberd	10	0	0	38	107	This improved halberd has a spiked blade opposite its axe face to provide both balance and a means of penetrating plate armor.
49	item049	Minotaur Campaign Pole-axe	1100	Weapon1or2	Spear	3d6	12	6	12	Halberd	10	0	0	38	123	"When the Minotaurs went to war with the Frost Giants of faraway Vori, their king Balthazar commissioned this polearm to arm his troops. He reportedly said, ""Since they will be gone so long, arm them with something versatile."""
50	item050	Labyrinth Grapple	1600	Weapon1or2	Spear	3d6	16	6	15	Halberd	10	0	0	24	135	Minotaurs have very little tolerance for intruders in their hallowed mazes. This fact is well evidenced in the attention paid to weapons constructed for the labyrinth guards.
51	item051	Hayfork	100	Weapon1or2	Spear	2d6	0	6	2	Trident	11	0	0	25	113	"Though a common farming implement, this hayfork is of sturdy construction and could be an excellent, if improvised, weapon."
52	item052	Infantry Fork	300	Weapon1or2	Spear	2d6	3	6	5	Trident	11	0	0	27	137	"A highly specialized piece of equipment intended to equalize contests between foot soldiers and mounted, armored opponents, these modified spears are effective if slightly clumsy weapons."
53	item053	Lizardman Trident	500	Weapon1or2	Spear	2d6	8	6	8	Trident	11	0	0	22	141	The blacksmiths on the Dagger Wound Islands craft a wide variety of spearheads. This trident is one of their most unusual designs. The barbed tines cause extra damage during straight thrusting attacks.
54	item054	Regnan Trident	700	Weapon1or2	Spear	2d6	11	6	11	Trident	11	0	0	23	130	No Regnan ship leaves port without a cache of tridents. Boarding attacks against their galleys seldom succeed against massed walls of their erudine tines.
55	item055	Triton Trident	1250	Weapon1or2	Spear	2d6	16	6	15	Trident	11	0	0	26	125	The first thing one notices when first handling this trident is that it is unusually cool to the touch. The second is a sense that the dragon turtle bone tines seem to seek vulnerabilities in their targets' defenses as if guided by an unseen hand.
56	item056	Hunting Bow	150	Missile	Bow	5d2	0	6	2	Bow	12	0	0	23	96	These lightweight bows of simple construction are meant for bringing down small game animals - not for direct combat. 
57	item057	Recurve Bow	300	Missile	Bow	5d2	4	3	6	Bow	12	0	0	21	102	Recurved bowstaves allows an archer to pull a heavier bow than they might otherwise be able to. Greater pull weight means greater arrow speed for increase range and damage.
58	item058	Snakewood Bow	400	Missile	Bow	4d2	7	3	8	Bow	12	0	0	24	100	"The human soldiers of Enroth carry bows made from the native snakewood tree. The strong, flexible wood makes a sturdy bow."
59	item059	Elven Warbow	600	Missile	Bow	5d2	10	3	12	Bow	12	0	0	23	102	"By laminating together layers of wood, steel, and bone the bowsmiths of Alvar have created a bow of perfect balance, strength and accuracy. The process consumes a lot of time, craft and expensive materials which explains the steep price these bows command."
60	item060	Devilbone Bow	750	Missile	Bow	5d2	12	3	13	Bow	12	0	0	30	100	Dark Elven bowsmiths have discovered that unusual characteristics of the Kreegan spinal column make it the best material for heavy bowstaves. A clever arrangement of composite pulleys make it possible for those of less than superhuman strength to pull these mighty weapons.
61	item061	Light Crossbow	100	Missile	Bow	3d2	2	4	4	Crossbow	13	0	0	28	70	"Because of their ease of use, crossbows like these are stockpiled in militia armories everywhere. Their low pull strength and mediocre workmanship however, make them only moderately effective."
62	item062	Blood Drop Crossbow	225	Missile	Bow	3d2	5	4	8	Crossbow	13	0	0	26	75	"A light crossbow of good quality, these weapons feature a grooved table, basic sights and a smooth releasing nut."
63	item063	Hunting Crossbow	300	Missile	Bow	4d2	5	4	9	Crossbow	13	0	0	32	83	"Built for use in the field, this medium crossbow is designed for hunting, but is equally effective as a battle weapon."
64	item064	Caravaner's Crossbow	550	Missile	Bow	4d2	9	4	12	Crossbow	13	0	0	38	85	The Merchants of Alvar like to see their caravan guards well armed. This well-crafted heavy crossbow has a cranked drawing mechanism.
65	item065	Regnan Crossbow	750	Missile	Bow	4d2	11	4	15	Crossbow	13	0	0	37	92	The pirates of Regna Island have spent centuries perfecting their crossbow design. The resulting weapon has a crystal lensed sight and bowstaves of pure stalt - which would make the bow impossible to cock if not for the crank draw of erudine alloy.
66	item066	Sturdy Mace	75	Weapon	Mace	2d4	1	6	3	Mace	14	0	0	22	116	"A slight improvement over the common club, maces are better balanced, more durable, and deliver greater damage."
67	item067	Flail	250	Weapon	Mace	2d4	4	6	6	Flail	14	0	0	58	113	"Though evolved from the farm implement which shares its name, the flail's great reach and striking power make it a fearsome weapon."
68	item068	Temple Mace	400	Weapon	Mace	2d4	7	6	9	Mace	14	0	0	33	126	The sunray corona circling the head of this well made mace serves as a devotional declaration for Temple of the Sun clerics; it also greatly increases the damage of its blows. 
69	item069	Reverend Sceptre	550	Weapon	Mace	2d3	11	6	12	Mace	14	0	0	12	159	"As much a symbol of office as weapon, these finely crafted maces are carried by inner circle Sun Temple priests. Its highly decorated shaft belies the effectiveness of the gilded erudine-steel head."
70	item070	Trollish War Mace	700	Weapon	Mace	2d3	13	6	14	Mace	14	0	0	30	177	"While most races have concentrated on developing bladed weapons, the Trolls have always been content to refine the simple bludgeon. This brutal weapon forged as a single piece of stalt alloy is the finest example of their craft."
71	item071	Sledgehammer	150	Weapon	Mace	2d4	2	6	4	Hammer	15	0	0	26	76	"This hammer is more a construction tool than a weapon. Still, it could deliver a telling, if clumsy, blow."
72	item072	Field Hammer	350	Weapon	Mace	2d4	5	6	8	Hammer	15	0	0	21	107	This hammer was designed as secondary infantry arm designed to finish off armored opponents who have fallen to the ground.
73	item073	Warhammer	450	Weapon	Mace	2d5	6	6	9	Hammer	15	0	0	26	103	"An improved version of the field hammer, this weapon is heavier, better balanced and more durable. While it requires strength to wield, it is a terrible sight to armored and unarmored foes alike."
74	item074	Sun Hammer	650	Weapon	Mace	2d4	11	6	12	Hammer	15	0	0	19	107	"Clerics of the Sun are prohibited from using bladed weapons. That they carry such fine warhammers is the natural result of this restriction. As an added measure of devotion, a reverse image of their sun symbol is embossed on the striking face."
75	item075	Trollish Maul	850	Weapon	Mace	2d5	14	6	15	Hammer	15	0	0	31	107	It is necessary to handle this weapon to appreciate its perfect grip and balance. The hammer's head is carved from a single mineral crystal. Trollish weaponsmiths spend a lifetime mastering the shaping technique to produce a head that retains incredible hardness without being shatter prone.
76	item076	Barbed Club	10	Weapon	Club	1d2	1	3	2	Club	16	0	0	16	119	"A wooden head and handle studded with short iron spikes, the simple club's best attribute is that it can be constructed from found materials."
77	item077	Thornbark Club	40	Weapon	Club	1d3	3	3	5	Club	16	0	0	31	148	The Trolls of the Ironsand Desert make these clubs by fire-hardening the fantastically tough root wood of the thornbark tree.
78	item078	Overlord's Club	350	Weapon	Mace	3d3	6	3	8	Club	16	0	0	26	161	Troll tribal chieftains must win their position through trial by combat. The winner keeps his club as a symbol of office. The losers' clubs often find their way into the weapon marketplace.
79	item079	Journey Staff	80	Weapon2	Staff	2d3	2	3	4	Staff	17	0	0	10	63	Many dangers face the Jadamean traveler. Even the least battle-minded carry some sort of weapon. These iron ended walking sticks are a common choice.
80	item080	Orb Staff	150	Weapon2	Staff	2d4	2	3	5	Staff	17	0	0	14	88	This staff is topped with a head of polished turquoise to give it greater striking force.
81	item081	Priestly Staff	300	Weapon2	Staff	2d4	5	3	9	Staff	17	0	0	14	95	"This finely decorated staff is the product of Lizardman craft. Wrapped with exotic leathers, and ended with a bronze footcap and striker, these staves are carried by Lizardman priests as a symbol of station."
82	item082	Serpent Staff	400	Weapon2	Staff	2d4	6	3	11	Staff	17	0	0	18	100	"These rare staffs may appear unwieldy, but they are the product of sorcery. In combat they flex with animal intelligence to work in blows through their targets' defenses."
83	item083	Bone Staff	750	Weapon2	Staff	2d4	9	3	15	Staff	17	0	0	35	118	Fashioned from the spinal bones of wyverns and crowned by a dragon's lower spikeplate, these staves are the product of necromantic weaponcraft. It is unusual to find one of these deadly weapons that is not also carrying a powerful enchantment.
84	item084	Leather Jerkin	200	Armor	Leather	8	0	3	3	Leather Armor	20	0	0	0	0	"This armor of thick, supple leather studded with brass offers minimal protection against blows."
85	item085	Hardened Leather Vest	300	Armor	Leather	8	4	3	5	Leather Armor	20	0	0	0	0	This item of leather armor has been hardened to offer increased protection. It is comfortable and light though offers little coverage.
86	item086	Caravaner's Leather	400	Armor	Leather	8	8	3	7	Leather Armor	20	0	0	0	0	"This is the type of armor worn most often by those guarding Alverian merchant caravans. A hardened and internally braced breastplate covers an undersuit of tough but supple hide, offering the wearer full body protection with a minimal hampering of movement."
87	item087	Regnan Leather	850	Armor	Leather	8	15	3	12	Leather Armor	20	0	0	0	0	"Though seemingly too thin to offer solid protection, this armor of Regnan design holds a subtle enchantment which makes the leather nearly steel tough. Additionally, a secret process makes the suit resistant to salt water corrosion."
88	item088	Alvarian Leather	1300	Armor	Leather	8	24	3	15	Leather Armor	20	0	0	0	0	Leather armor sets of this quality are of the finest produced by the Alvarian Armorers' Guild. The stalt-alloy edged panels are virtually inpenetrable; their clever interlockings give the wearer excellent freedom of movement.
89	item089	Rusty Mail Vest	300	Armor	Chain	12	0	6	1	Chainmail	21	0	0	0	0	This corroded ring mail vest has seen better days. It has been field repaired in many places and even has a large patch of thinner mail salvaged from a piece of chain cowl.
90	item090	Steel Chainmail	600	Armor	Chain	12	8	6	6	Chainmail	21	0	0	0	0	Constructed of strong steel this is the type of armor worn by the rank and file foot soldiers of many armies.
91	item091	Minotaur Chainmail	900	Armor	Chain	12	18	6	9	Chainmail	21	0	0	0	0	"Of a design originally created by the Minotaurs for their Vori campaigns, this type of chainmail, with its good coverage and fine construction, has proven popular among other races. Now the armorsmiths of Bathazar Lair construct it in sizes for any with ready gold to spend."
92	item092	Siertal Chainmail	1500	Armor	Chain	12	28	6	16	Chainmail	21	0	0	0	0	The Alvarian Dark Elves guard their siertal-alloy formula carefully. Chainmail made from this metal is both light and capable of turning the hardest blades.
93	item093	Erudine Chainmail	1900	Armor	Chain	12	36	6	18	Chainmail	21	0	0	0	0	"Another master product of the Alvarian Armorers' Guild, this hybrid suit of plate and mail is made of siertal-alloy finished erudine with an attention to craftsmanship worthy of the precious materials."
94	item094	Rusty Breastplate	750	Armor	Plate	18	0	9	1	Plate Armor	22	0	0	0	0	This piece of plate armor salvaged from a larger suit is so corroded it is a question whether it is equipment for a warrior or junk for the scrap man.
95	item095	Banded Plate	1400	Armor	Plate	18	10	9	8	Plate Armor	22	0	0	0	0	"Bands of steel cover the mid-torso of this chain and plate chest armor. While lighter and simpler to construct than continuously formed plate, this armor offers less protection than heavier plate."
96	item096	Minotaur Plate	2000	Armor	Plate	18	20	9	12	Plate Armor	22	0	0	0	0	"An example of the work produced by the Minotaur armorers of Balthazar Lair, this plate armor provides excellent mid-section protection. The arms are left free in the Minotaur-style."
97	item097	Dark Knight Plate	2700	Armor	Plate	18	32	9	17	Plate Armor	22	0	0	0	0	"Though lined with felt and red velvet, and decorated with enamel and gilding, this armor is no showpiece. The siertal-alloy plates are light, but tough enough that they must have been worked with tools with erudine working faces."
98	item098	Dragoning Plate	3800	Armor	Plate	18	46	9	25	Plate Armor	22	0	0	0	0	"The technique for making plate armor of erudine sheets is not known on Jadame. In fact, it is only produced by the master armorer, Derrick Goreth of Erathia who spent a lifetime constructing his famed White Light Forgeworks."
99	item099	Trollish Shield	150	Shield	Shield	4	1	4	2	Large Shield	23	0	0	32	57	"A simple wooden shield of Trollish make, the design is often copied by apprentice armorsmiths just learning their craft."
100	item100	Thornbark Shield	300	Shield	Shield	4	4	4	5	Large Shield	23	0	0	43	39	"Made from thornbark tree heartwood and rimmed with iron, this shield is sturdy, if a bit heavy."
101	item101	Regnan Tournament Shield	500	Shield	Shield	4	8	4	9	Large Shield	23	0	0	50	78	"Every ten moons, the Regnans hold a great festival which includes a tournament of arms. The noble class contestants spare no expense in the commissioning of shields that are light, but tough enough to shelter them from harm."
102	item102	Veteran Shield	600	Shield	Shield	4	11	4	11	Large Shield	23	0	0	32	74	"In the Demon Wars of Erathia, the Humans found that only erudine armor was proof against the fiery attacks of their foes. Bit by bit, pieces of this armor - like this shield - have made their way to Jadame."
103	item103	Dragon Hunter's Shield	1000	Shield	Shield	4	18	4	15	Large Shield	23	0	0	64	85	"The town of Kriegspire in Enroth had a problem with Dragons. These shields were their answer. Magically bound layers of erudine, stalt-steel and hydra leather, make a nearly unbreakable material resistant to most Dragon breath weapons."
104	item104	Wooden Buckler	100	Shield	Shield	2	2	4	3	Small Shield	24	0	0	32	32	This small shield is gripped in the off-weapon hand. The wielder is much dependent on agility to make use of its scant defensive coverage.
105	item105	Caravaner's Small Shield	250	Shield	Shield	2	5	4	6	Small Shield	24	0	0	47	47	"Caravan guards traveling Merchant of Alvar trade routes must often cover long distances on foot. This shield, like the rest of their equipment is well made and lightweight."
106	item106	Calvary Shield	400	Shield	Shield	2	8	4	9	Small Shield	24	0	0	50	50	"A favorite among mounted knights, these steel shields are strong enough to turn aside the points of pikemen."
107	item107	Death Head Shield	550	Shield	Shield	2	12	4	12	Small Shield	24	0	0	43	43	The Necromancers' Guild likes to arm its undead armies well. Their elite infantry carry these erudine alloy shield of great strength.
108	item108	Eldritch Shield	700	Shield	Shield	2	15	4	14	Small Shield	24	0	0	50	47	"There are only twelve of these shields in known existence. Their bodies are made of an alloy that appears to seethe with the color of coal fire. Their rims are made of another unknown metal that is soft enough to catch blades, but doesn't gouge or scratch."
109	item109	Helm	110	Helm	Misc	1	2	6	3	Helm	25	0	0	0	0	This cap of soft iron and unhardened leather provides a small measure of protection from blows to the head.
110	item110	Lizardman Helm	260	Helm	Misc	1	5	6	6	Helm	25	0	0	0	0	Iron and leather helms of this sort are produced by blacksmiths everywhere. This one is of Lizardman manufacture and sports genuine ram horns.
111	item111	Full Helm	510	Helm	Misc	1	7	6	8	Helm	25	0	0	0	0	Steel helms of this design are commissioned in large numbers by the Merchants of Alvar who issue them to mounted caravan guards.
112	item112	Battle Helm	760	Helm	Misc	1	11	6	12	Helm	25	0	0	0	0	This full helmet is of superior materials and workmanship. The structurally weaker areas around the eye and nose slits are reinforced with siertal.
113	item113	Dragon Helm	960	Helm	Misc	1	13	6	14	Helm	25	0	0	0	0	The faceplate of this superior helmet hinges on nearly invisible seams so that when closed it provides a snug fit and full face coverage. Only the most well-aimed blows have a chance of penetrating through.
114	item114	Citizen Hat	50	Helm	Misc	0	0	2	4	Hat	26	0	0	0	0	A loose fitting hat made of sturdy cloth.
115	item257	Festival Hat	100	Helm	Misc	0	0	2	6	Hat	26	0	0	0	0	Hats decorated with cheap glass gems are worn by Regnans on festival occassions--of which they have many.
116	item116	Merchantman's Hat	250	Helm	Misc	0	0	2	10	Hat	26	0	0	0	0	"This pleated cap of velvet, lined and edged with black rabbit fur is decorated with a small enameled medallion. "
117	item117	Studded Leather Belt	40	Belt	Misc	1	0	3	3	Belt	28	0	0	0	0	A simple belt of cured leather. It is decorated with iron studs and closes with a pinned hasp.
118	item118	Sturdy Belt	80	Belt	Misc	1	2	3	4	Belt	28	0	0	0	0	A thick leather belt. The studs and buckle are made of brass.
119	item119	Wyvern Leather Belt	300	Belt	Misc	1	5	3	9	Belt	28	0	0	0	0	Wyvern leather is very tough and difficult to obtain. It is prized by Shadowspire leathercrafters because it becomes black when tanned--a color favored by their vampire and necromancer clientele.
120	item120	Steel Belt	450	Belt	Misc	1	8	3	12	Belt	28	0	0	0	0	This well crafted belt is made of enameled steel. It has two cleverly concealed side hinges and has a latching clasp in back.
121	item121	Artificer's Belt	700	Belt	Misc	1	11	3	14	Belt	28	0	0	0	0	Finely crafted belts of dragon leather are made to hold enchantments. This one is worked in gold and circled by thin bands of siertal.
122	item122	Traveler's Cloak	50	Cloak	Misc	1	0	2	1	Cloak	29	0	0	0	0	This warm cloak of dyed wool also offers a small amount of protection from weapon attacks.
123	item123	Moon Temple Cloak	150	Cloak	Misc	1	2	2	6	Cloak	29	0	0	0	0	The blue dye used to color the glove leather cloaks worn by Moon Temple clerics is derived from the frond petal flowers which grow only in the Mount Nighon region of Erathia.
124	item124	Alvar Cloak	350	Cloak	Misc	1	4	2	12	Cloak	29	0	0	0	0	"Made in Alvar, cloaks of this quality are often seen on the shoulders of the more wealthy members of the Alvarian Merchant Guild."
125	item125	Necromancer Cloak	400	Cloak	Misc	1	5	2	13	Cloak	29	0	0	0	0	Clearly a cloak made for a practitioner of the dark arts. This fine cloak is worked with arcane designs embroidered in darkened silver thread.
126	item126	Vampire Cloak	900	Cloak	Misc	1	9	2	18	Cloak	29	0	0	0	0	"This high collared, jet black cloak of wyvern leather is lined in red velvet--a style much favored by the elder vampires of Shadowspire."
127	item127	Leather Gloves	20	Gauntlets	Misc	1	0	6	1	Gauntlets	30	0	0	0	0	These gloves of poorly cured leather are worn by workmen everywhere.
128	item128	Troll Gauntlets	150	Gauntlets	Misc	1	3	6	5	Gauntlets	30	0	0	0	0	These leather gloves of Trollish make are studded with iron spikes at the knuckles.
129	item131	Steel Gauntlets	450	Gauntlets	Misc	1	7	6	10	Gauntlets	30	0	0	0	0	"Made of hinged plates of steel, these gauntlets offer good protection, but have a tendency to pinch."
130	item129	Minotaur Gauntlets	700	Gauntlets	Misc	1	10	6	14	Gauntlets	30	0	0	0	0	Siertal-alloy makes these gauntlets light and tough. Superior workmanship make them comfortable and flexible.
131	item130	Crusader's Gauntlets	950	Gauntlets	Misc	1	13	6	18	Gauntlets	30	0	0	0	0	These gauntlets are master crafted from pure erudine marking them as the product of Derrick Goreth's White Light Forgeworks.
132	item132	Walking Boots	80	Boots	Misc	1	2	3	2	Boots	31	0	0	0	0	"Built more for comfort than combat, these boots of soft leather offer good protection from mud and sharp stones, but are not meant to turn weapon blows."
133	item133	Hardened Leather Boots	100	Boots	Misc	1	3	3	5	Boots	31	0	0	0	0	The leather of these boots has been stiffened for greater protection. They are thick soled and lined with a thin layer of softer leather.
134	item134	Regnan Boots	450	Boots	Misc	1	7	3	10	Boots	31	0	0	0	0	These steel capped boots are commonly worn by Regnan warriors. The leather parts are treated to make them waterproof.
135	item135	Alvarian Boots	650	Boots	Misc	1	9	3	13	Boots	31	0	0	0	0	"Made by the Alvarian Elves, these boots are internally reinforced by bands of siertal-alloy. Their soles are softer than most boots making them quieter stepping."
